Employee Code,Manager Employee Code,Effective Date,End Date,Compensation,Review Score,Engagement Score
1,,2021-01-01,2099-12-31,20000.0,,
2,1.0,2021-01-01,2021-02-28,20000.0,,
2,1.0,2021-03-01,2021-05-31,20000.0,,4.0
2,1.0,2021-06-01,2021-12-31,20000.0,9.0,4.0
2,1.0,2022-01-01,2022-02-28,10000.0,9.0,4.0
2,1.0,2022-03-01,2022-05-31,10000.0,9.0,5.0
2,1.0,2022-06-01,2022-12-31,10000.0,9.5,5.0
2,1.0,2023-01-01,2099-12-31,20000.0,9.5,5.0
3,1.0,2021-01-01,2021-02-28,20000.0,,
3,1.0,2021-03-01,2021-05-31,20000.0,,4.0
3,1.0,2021-06-01,2021-12-31,20000.0,9.0,4.0
3,1.0,2022-01-01,2022-02-28,10000.0,9.0,4.0
3,1.0,2022-03-01,2022-05-31,10000.0,9.0,5.0
3,1.0,2022-06-01,2022-12-31,10000.0,9.5,5.0
3,1.0,2023-01-01,2023-12-30,20000.0,9.5,5.0
